Timestamp,Year of Study,Gender,Age,CGPA (optional),How many hours do you spend on studying per week?,How many credits are you currently enrolled in?,"Do you participate in extra-curricular activities? (Clubbing, Volunteering, etc.)","If yes, how many hours per week? 
(Leave it blank if you do not participate)",Do you have a part-time job?*,"If yes, how many hours per week? 
(Leave it blank if you do not participate)","On a scale of 1–5, how would you rate your stress level this semester?","On a scale of 1–5, how would you rate your anxiety level?","On average, how many hours of sleep do you get per night?","On a scale of 1–10, how would you rate your overall sleep quality?"
2025/08/24 6:26:45 PM GMT+6,1st Year (0-35 credits),Male,19,,10,10,No,,Yes,12,2,2,6,5
2025/08/24 7:23:10 PM GMT+6,1st Year (0-35 credits),Female,20,,6.5,12,No,,No,,5,4,5.5,5
2025/08/24 7:27:25 PM GMT+6,1st Year (0-35 credits),Male,20,,20,11,Yes,2,No,,5,5,4,3
2025/08/24 8:07:38 PM GMT+6,1st Year (0-35 credits),Male,21,2.12,5,9,Yes,6,No,,4,3,8,5
2025/08/24 8:12:41 PM GMT+6,1st Year (0-35 credits),Male,19,3.64,28,10,Yes,6,No,,4,5,2.5,2
2025/08/24 8:16:31 PM GMT+6,1st Year (0-35 credits),Female,20,3.59,2.5,10,Yes,3.5,No,,5,5,3.5,4
2025/08/24 8:43:31 PM GMT+6,1st Year (0-35 credits),Male,21,,7,21,No,,No,,4,3,6,6
2025/08/24 8:47:41 PM GMT+6,1st Year (0-35 credits),Female,21,,0,9,Yes,,Yes,5,4,4,3.5,3
2025/08/24 8:57:16 PM GMT+6,1st Year (0-35 credits),Male,21,3.46,37,20.5,Yes,4,No,,5,5,3,3
2025/08/24 8:57:39 PM GMT+6,1st Year (0-35 credits),Male,21,,8,12,No,,No,,4,3,6,7
2025/08/24 9:03:49 PM GMT+6,1st Year (0-35 credits),Male,22,3.67,6,12,Yes,5,No,,5,5,8,7
2025/08/24 9:08:26 PM GMT+6,1st Year (0-35 credits),Female,19,,30,12,Yes,,No,,5,4,5,3
2025/08/24 9:18:44 PM GMT+6,1st Year (0-35 credits),Male,20,,20,11,No,,No,,2,3,4,6
2025/08/24 9:31:45 PM GMT+6,1st Year (0-35 credits),Male,20,,4,12,Yes,,No,,3,3,7,10
2025/08/24 10:08:41 PM GMT+6,1st Year (0-35 credits),Male,20,4,1,15,No,1,Yes,1,5,5,5,1
2025/08/24 5:27:10 PM GMT+6,2nd Year (35.5–70 credits),Female,22,3.06,19,10.5,Yes,3.5,No,,5,4,5.5,5
2025/08/24 5:49:21 PM GMT+6,2nd Year (35.5–70 credits),Male,22,3.96,2,11.5,Yes,25,No,,3,3,9,9
2025/08/24 5:54:53 PM GMT+6,2nd Year (35.5–70 credits),Female,22,,1,53,Yes,,No,,5,5,2.5,3
2025/08/24 5:56:57 PM GMT+6,2nd Year (35.5–70 credits),Male,23,3.52,1.5,12,No,,No,,4,2,7,7
2025/08/24 5:57:43 PM GMT+6,2nd Year (35.5–70 credits),Male,21,3.13,4,45,No,,No,,4,3,5,3
2025/08/24 6:00:25 PM GMT+6,2nd Year (35.5–70 credits),Male,24,,4,9,Yes,7,No,,3,2,6,8
2025/08/24 6:03:12 PM GMT+6,2nd Year (35.5–70 credits),Male,21,3.2,7,66,No,,No,,5,5,6.5,4
2025/08/24 7:04:38 PM GMT+6,2nd Year (35.5–70 credits),Female,21,3.9,4,12,Yes,3.5,Yes,8,3,3,6.5,7
2025/08/24 7:24:26 PM GMT+6,2nd Year (35.5–70 credits),Female,20,,19,13,Yes,5,Yes,15,3,2,4.5,3
2025/08/24 7:48:43 PM GMT+6,2nd Year (35.5–70 credits),Female,22,3.7,6.5,12,No,,No,,4,3,7,7
2025/08/24 8:22:34 PM GMT+6,2nd Year (35.5–70 credits),Female,22,3.7,58,12.5,No,,Yes,4,4,5,6.5,7
