year,gender,age,cgpa,study_hour,credit,extra_curricular,extra_curricular_hour,job,job_hour,stress_lv,anxiety_lv,sleep_hour,sleep_lv
1.0,Male,19,3.55,10.0,10.0,No,,Yes,12.0,2,2,6.0,5
1.0,Female,20,3.55,6.5,12.0,No,,No,,5,4,5.5,5
1.0,Male,20,3.55,20.0,11.0,Yes,2.0,No,,5,5,4.0,3
1.0,Male,21,2.12,5.0,9.0,Yes,6.0,No,,4,3,8.0,5
1.0,Male,19,3.64,28.0,10.0,Yes,6.0,No,,4,5,2.5,2
1.0,Female,20,3.59,2.5,10.0,Yes,3.5,No,,5,5,3.5,4
1.0,Male,21,3.55,7.0,21.0,No,,No,,4,3,6.0,6
1.0,Female,21,3.55,0.0,9.0,Yes,,Yes,5.0,4,4,3.5,3
1.0,Male,21,3.46,37.0,20.5,Yes,4.0,No,,5,5,3.0,3
1.0,Male,21,3.55,8.0,12.0,No,,No,,4,3,6.0,7
1.0,Male,22,3.67,6.0,12.0,Yes,5.0,No,,5,5,8.0,7
1.0,Female,19,3.55,30.0,12.0,Yes,,No,,5,4,5.0,3
1.0,Male,20,3.55,20.0,11.0,No,,No,,2,3,4.0,6
1.0,Male,20,3.55,4.0,12.0,Yes,,No,,3,3,7.0,10
1.0,Male,20,4.0,1.0,15.0,No,1.0,Yes,1.0,5,5,5.0,1
2.0,Female,22,3.06,19.0,10.5,Yes,3.5,No,,5,4,5.5,5
2.0,Male,22,3.96,2.0,11.5,Yes,25.0,No,,3,3,9.0,9
2.0,Female,22,3.55,1.0,53.0,Yes,,No,,5,5,2.5,3
2.0,Male,23,3.52,1.5,12.0,No,,No,,4,2,7.0,7
2.0,Male,21,3.13,4.0,45.0,No,,No,,4,3,5.0,3
2.0,Male,24,3.55,4.0,9.0,Yes,7.0,No,,3,2,6.0,8
2.0,Male,21,3.2,7.0,66.0,No,,No,,5,5,6.5,4
2.0,Female,21,3.9,4.0,12.0,Yes,3.5,Yes,8.0,3,3,6.5,7
2.0,Female,20,3.55,19.0,13.0,Yes,5.0,Yes,15.0,3,2,4.5,3
2.0,Female,22,3.7,6.5,12.0,No,,No,,4,3,7.0,7
2.0,Female,22,3.7,58.0,12.5,No,,Yes,4.0,4,5,6.5,7
2.0,Female,21,2.73,35.0,50.0,Yes,,Yes,,4,3,5.5,6
2.0,Male,20,3.71,10.0,12.0,No,,Yes,12.0,4,4,6.5,5
2.0,Male,23,4.0,6.0,36.0,Yes,2.0,Yes,21.0,5,5,4.0,2
2.0,Male,21,3.3,13.0,39.0,Yes,4.0,No,,5,5,5.0,4
2.0,Male,22,3.55,6.5,30.0,No,,No,,5,5,7.5,3
2.0,Male,22,3.7,10.0,12.0,Yes,,Yes,,5,5,3.0,1
2.0,Male,28,3.41,4.5,54.0,No,,No,,3,4,5.5,6
2.0,Male,22,3.55,2.0,12.5,Yes,11.0,No,,3,3,5.0,7
2.0,Male,21,3.42,20.0,15.0,No,,No,,5,4,5.0,6
2.0,Male,21,3.55,4.0,10.0,No,,Yes,,5,3,7.0,7
2.0,Female,23,3.25,35.0,60.0,No,,Yes,28.0,4,4,6.0,6
2.0,Male,21,3.55,14.0,10.0,Yes,,No,,5,2,6.0,5
2.0,Female,22,3.55,30.0,60.5,Yes,2.5,No,,4,4,6.5,8
2.0,Female,21,3.07,4.5,71.5,No,,No,,5,4,4.5,4
3.0,Male,23,3.55,12.0,12.0,No,,No,,4,3,5.0,5
3.0,Male,24,3.55,17.0,90.0,Yes,2.5,No,,5,4,5.5,6
3.0,Female,22,3.55,10.0,10.0,Yes,,No,,5,5,6.0,6
3.0,Male,20,3.55,5.0,12.0,Yes,3.0,Yes,7.0,5,5,5.5,4
3.0,Male,21,3.55,34.0,15.0,Yes,2.5,No,,5,4,7.0,8
3.0,Male,22,3.55,33.5,15.0,Yes,3.0,No,,5,5,6.5,9
3.0,Male,23,3.55,10.0,78.0,Yes,2.0,Yes,18.0,5,4,6.0,6
3.0,Female,21,3.55,4.0,12.5,No,,No,,4,5,5.0,8
3.0,Female,23,3.55,10.0,15.0,No,,No,,5,5,6.0,5
3.0,Male,21,2.5,15.0,15.0,Yes,12.0,Yes,4.0,1,5,3.0,10
3.0,Male,21,2.5,15.0,15.0,Yes,10.0,Yes,20.0,1,5,3.0,10
3.0,Male,25,3.37,10.0,15.0,No,,No,,5,4,6.0,3
3.0,Female,23,3.57,7.0,96.0,Yes,1.0,No,,4,4,6.0,4
3.0,Female,23,3.55,10.0,11.5,No,,No,,5,5,8.0,5
3.0,Female,22,3.55,5.5,12.0,No,,No,,4,5,5.5,5
3.0,Female,23,3.55,2.0,15.0,No,,No,,5,3,8.0,6
3.0,Male,23,3.5,13.0,15.0,Yes,13.0,No,,4,4,5.5,4
3.0,Male,24,3.2,6.0,71.0,Yes,1.5,Yes,8.5,5,5,2.5,2
3.0,Male,22,3.78,12.0,11.0,Yes,3.0,Yes,7.0,5,5,5.0,6
3.0,Male,22,3.78,12.0,11.0,Yes,2.0,Yes,7.0,5,5,5.0,6
3.0,Male,23,3.2,14.0,11.0,Yes,,Yes,,3,4,6.0,8
3.0,Male,23,3.55,14.0,148.0,No,,No,,5,5,5.0,4
3.0,Female,23,3.8,15.0,13.0,Yes,2.0,No,,4,4,7.0,8
3.0,Male,23,3.56,4.0,13.0,Yes,20.0,No,,3,4,4.0,2
3.0,Male,23,3.99,14.0,12.0,Yes,2.0,Yes,6.0,4,4,6.0,4
3.0,Male,22,3.88,4.5,12.0,No,,No,,5,4,4.0,3
3.0,Female,23,3.55,30.0,12.0,No,,No,,3,4,7.0,7
3.0,Female,23,3.55,2.0,15.0,No,,No,,5,3,8.0,6
3.0,Male,23,3.79,21.0,14.0,Yes,6.0,No,,4,4,5.0,5
3.0,Male,24,3.55,26.0,12.5,Yes,2.0,No,,4,4,6.0,6
3.0,Female,23,3.55,30.0,12.0,No,,No,,4,4,4.5,4
3.0,Male,24,3.37,7.0,15.0,No,,No,,5,5,5.0,5
